name,lat,lng,source,checked_on,action,note
"신둔도예촌","37.315493","127.405249","https://ko.wikipedia.org/wiki/신둔도예촌역","2026-09-21","added","원본에 없어 CSV에 추가"
"이천","37.26419","127.442045","https://ko.wikipedia.org/wiki/이천역","2026-09-21","added","원본에 없어 CSV에 추가"
"부발","37.260411","127.490308","https://ko.wikipedia.org/wiki/부발역","2026-09-21","added","원본에 없어 CSV에 추가"
"세종대왕릉","37.293653","127.570796","https://ko.wikipedia.org/wiki/세종대왕릉역","2026-09-21","added","원본에 없어 CSV에 추가"
"여주","37.28288","127.62857","https://ko.wikipedia.org/wiki/여주역","2026-09-21","added","원본에 없어 CSV에 추가"
"광운대","37.62306","127.06139","https://ko.wikipedia.org/wiki/광운대역","2026-09-21","added","원본에 없어 CSV에 추가"
"의정부","37.737861","127.046028","https://ko.wikipedia.org/wiki/의정부역","2026-09-21","added","원본에 없어 CSV에 추가"
"동두천","37.92774","127.054691","https://ko.wikipedia.org/wiki/동두천역","2026-09-21","added","원본에 없어 CSV에 추가"
"연천","38.10167","127.07389","https://ko.wikipedia.org/wiki/연천역","2026-09-21","added","원본에 없어 CSV에 추가"
"백마고지","38.257368","127.165992","https://ko.wikipedia.org/wiki/백마고지역","2026-09-21","added","원본에 없어 CSV에 추가"
"일산","37.6823417","126.7695472","https://ko.wikipedia.org/wiki/일산역","2026-09-21","added","원본에 없어 CSV에 추가"
"문산","37.854556","126.787583","https://ko.wikipedia.org/wiki/문산역","2026-09-21","added","원본에 없어 CSV에 추가"
"도라산","37.8985083","126.7092944","https://ko.wikipedia.org/wiki/도라산역","2026-09-21","added","원본에 없어 CSV에 추가"
"백산","37.1383417","129.0340333","https://ko.wikipedia.org/wiki/백산역","2026-09-21","added","원본에 없어 CSV에 추가"
"모량","35.82694","129.12417","https://ko.wikipedia.org/wiki/모량역","2026-09-21","added","원본에 없어 CSV에 추가"
"철암","37.1128861","129.0369556","https://ko.wikipedia.org/wiki/철암역","2026-09-21","override","원본이 서울 청량리 인근 좌표"
"서원주","37.3498","127.837","https://ko.wikipedia.org/wiki/서원주역","2026-09-21","override","원본 0/0"
"횡성","37.48278","128.01028","https://ko.wikipedia.org/wiki/횡성역","2026-09-21","override","원본 0/0"
"둔내","37.51","128.22111","https://ko.wikipedia.org/wiki/둔내역","2026-09-21","override","원본 0/0"
"평창","37.56222","128.43","https://ko.wikipedia.org/wiki/평창역","2026-09-21","override","원본 0/0"
"진부(오대산)","37.6425","128.57472","https://ko.wikipedia.org/wiki/진부역","2026-09-21","override","원본 0/0; 프로젝트 역명 유지"
"여천","34.77944","127.66722","https://ko.wikipedia.org/wiki/여천역","2026-09-21","override","원본과 약 1.44km 차이; 현 역사 좌표로 교정"
"여수엑스포","34.75778","127.74722","https://ko.wikipedia.org/wiki/여수엑스포역","2026-09-21","override","원본과 약 1.08km 차이; 현 역사 좌표로 교정"
"사상","35.1625111","128.9889333","https://ko.wikipedia.org/wiki/사상역_(한국철도공사)","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"행신","37.612139","126.834139","https://ko.wikipedia.org/wiki/행신역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"서울","37.55472","126.97083","https://ko.wikipedia.org/wiki/서울역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"청량리","37.580861","127.048389","https://ko.wikipedia.org/wiki/청량리역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"상봉","37.596722","127.08475","https://ko.wikipedia.org/wiki/상봉역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"덕소","37.58639","127.20944","https://ko.wikipedia.org/wiki/덕소역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"양평","37.49833","127.49611","https://ko.wikipedia.org/wiki/양평역_(양평)","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"만종","37.356363","127.896399","https://ko.wikipedia.org/wiki/만종역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"강릉","37.7637611","128.8990861","https://ko.wikipedia.org/wiki/강릉역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"정동진","37.6913583","129.0333167","https://ko.wikipedia.org/wiki/정동진역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"묵호","37.5460556","129.1082306","https://ko.wikipedia.org/wiki/묵호역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"동해","37.4979778","129.1227611","https://ko.wikipedia.org/wiki/동해역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"김천","36.12333","128.11472","https://ko.wikipedia.org/wiki/김천역","2026-09-21","retained","출처와 1km 이내; 기존 유효값 유지"
"신치","37.364239","128.683703","https://ko.wikipedia.org/wiki/신치역","2026-09-21","added","이전 pending 해소; 위키데이터 Q1592790, 정선선 선평~정선 구간 거리와 부합"
"안인","37.7378052","128.9793446","https://www.openstreetmap.org/search?query=안인","2026-09-21","added","이전 pending 해소; 위키 좌표 없어 OSM 화물야드 태그를 인접역(정동진 7.0km, 청량신호소 5.2km) 거리로 교차검증"
